run_id,run_number,run_url,commit_sha,commit_short_sha,commit_message,status,workflow_duration,test_count,test_failures,test_average_time,test_total_time,timestamp,scenario_id,execution_mode,cache,generated_test_count,slow_test_delay_seconds,failing_case,scenario_notes,job_name,job_status,job_duration
26888820058,7,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888820058,7c332ccb15b28829ada7a8ba3803fff50ec68656,7c332cc,Experiment recover failed test,success,32.0,25,0,0.0021,0.052,2026-06-03T13:43:49Z,r07_recovery,parallel,enabled,18,0.0,,Recuperacao apos falha proposital mantendo volume de testes.,Tests parallel,success,19.0
26888820058,7,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888820058,7c332ccb15b28829ada7a8ba3803fff50ec68656,7c332cc,Experiment recover failed test,success,32.0,25,0,0.0021,0.052,2026-06-03T13:43:49Z,r07_recovery,parallel,enabled,18,0.0,,Recuperacao apos falha proposital mantendo volume de testes.,Tests sequential,skipped,0.0
26888822293,8,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822293,addb7e42376636e8347aa95f55a4c854c88e8643,addb7e4,Experiment disable dependency cache,success,29.0,25,0,0.0022,0.054,2026-06-03T13:43:52Z,r08_no_cache,parallel,disabled,18,0.0,,Cache de dependencias desabilitado.,Prepare scenario,success,6.0
26888822293,8,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822293,addb7e42376636e8347aa95f55a4c854c88e8643,addb7e4,Experiment disable dependency cache,success,29.0,25,0,0.0022,0.054,2026-06-03T13:43:52Z,r08_no_cache,parallel,disabled,18,0.0,,Cache de dependencias desabilitado.,Lint,success,14.0
26888822293,8,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822293,addb7e42376636e8347aa95f55a4c854c88e8643,addb7e4,Experiment disable dependency cache,success,29.0,25,0,0.0022,0.054,2026-06-03T13:43:52Z,r08_no_cache,parallel,disabled,18,0.0,,Cache de dependencias desabilitado.,Tests parallel,success,16.0
26888822293,8,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822293,addb7e42376636e8347aa95f55a4c854c88e8643,addb7e4,Experiment disable dependency cache,success,29.0,25,0,0.0022,0.054,2026-06-03T13:43:52Z,r08_no_cache,parallel,disabled,18,0.0,,Cache de dependencias desabilitado.,Tests sequential,skipped,-1.0
26888822884,9,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822884,ae72107b1aae16c28dd5fcfc8c173b5db439c24e,ae72107,Experiment expand tests without cache,success,29.0,37,0,0.0016,0.058,2026-06-03T13:43:52Z,r09_no_cache_more_tests,parallel,disabled,30,0.0,,Maior volume de testes com cache desabilitado.,Prepare scenario,success,6.0
26888822884,9,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822884,ae72107b1aae16c28dd5fcfc8c173b5db439c24e,ae72107,Experiment expand tests without cache,success,29.0,37,0,0.0016,0.058,2026-06-03T13:43:52Z,r09_no_cache_more_tests,parallel,disabled,30,0.0,,Maior volume de testes com cache desabilitado.,Tests parallel,success,15.0
26888822884,9,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822884,ae72107b1aae16c28dd5fcfc8c173b5db439c24e,ae72107,Experiment expand tests without cache,success,29.0,37,0,0.0016,0.058,2026-06-03T13:43:52Z,r09_no_cache_more_tests,parallel,disabled,30,0.0,,Maior volume de testes com cache desabilitado.,Lint,success,13.0
26888822884,9,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888822884,ae72107b1aae16c28dd5fcfc8c173b5db439c24e,ae72107,Experiment expand tests without cache,success,29.0,37,0,0.0016,0.058,2026-06-03T13:43:52Z,r09_no_cache_more_tests,parallel,disabled,30,0.0,,Maior volume de testes com cache desabilitado.,Tests sequential,skipped,-1.0
26888824460,10,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824460,0ab11695d906cd5b2f0e4617eabde3bc74f8ebff,0ab1169,Experiment compare parallel jobs,success,25.0,25,0,0.0024,0.06,2026-06-03T13:43:54Z,r12_parallel_pair,parallel,enabled,18,0.0,,"Cenario equivalente ao sequencial, mas com jobs paralelos.",Prepare scenario,success,6.0
26888824460,10,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824460,0ab11695d906cd5b2f0e4617eabde3bc74f8ebff,0ab1169,Experiment compare parallel jobs,success,25.0,25,0,0.0024,0.06,2026-06-03T13:43:54Z,r12_parallel_pair,parallel,enabled,18,0.0,,"Cenario equivalente ao sequencial, mas com jobs paralelos.",Tests parallel,success,12.0
26888824460,10,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824460,0ab11695d906cd5b2f0e4617eabde3bc74f8ebff,0ab1169,Experiment compare parallel jobs,success,25.0,25,0,0.0024,0.06,2026-06-03T13:43:54Z,r12_parallel_pair,parallel,enabled,18,0.0,,"Cenario equivalente ao sequencial, mas com jobs paralelos.",Lint,success,12.0
26888824460,10,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824460,0ab11695d906cd5b2f0e4617eabde3bc74f8ebff,0ab1169,Experiment compare parallel jobs,success,25.0,25,0,0.0024,0.06,2026-06-03T13:43:54Z,r12_parallel_pair,parallel,enabled,18,0.0,,"Cenario equivalente ao sequencial, mas com jobs paralelos.",Tests sequential,skipped,-1.0
26888824793,11,https://github.com/Rafaelfurtadovs/ponderada_pipeline/actions/runs/26888824793,efa216b1750f09f3c834bb0feea1c460bb2bf65e,efa216b,Experiment re-enable dependency cache,success,32.0,37,0,0.0019,0.072,2026-06-03T13:43:54Z,r10_cache_restored,parallel,enabled,30,0.0,,Cache reabilitado mantendo a mesma quantidade de testes.,Prepare scenario,success,6.0
